,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,25,25.6,60.3,29,319,"2,610",29.0,67,47,114,59,8,8,45,2,57.3,51.2,40.0,91.2,639,1658,2.31,1.62,3.93,2.03,3.66,1.97,1.38,3.36,1.77,3.15
Aston Villa,29,27.6,54.9,30,330,"2,700",30.0,59,43,102,55,4,4,79,2,52.7,49.6,39.0,88.5,648,1235,1.97,1.43,3.40,1.83,3.27,1.76,1.30,3.05,1.65,2.95
Bournemouth,28,26.4,45.0,29,319,"2,610",29.0,42,31,73,41,1,2,58,2,43.9,42.3,32.0,74.3,541,1034,1.45,1.07,2.52,1.41,2.48,1.51,1.10,2.62,1.46,2.56
Brentford,28,27.4,44.6,30,330,"2,700",30.0,41,26,67,38,3,3,72,2,48.3,46.1,34.2,80.3,377,1026,1.37,0.87,2.23,1.27,2.13,1.61,1.14,2.75,1.54,2.68
Brighton,28,26.7,61.7,29,319,"2,610",29.0,47,35,82,42,5,5,73,3,45.9,42.3,33.7,76.0,654,1437,1.62,1.21,2.83,1.45,2.66,1.58,1.16,2.75,1.46,2.62
Burnley,31,25.2,46.1,30,330,"2,700",30.0,30,23,53,28,2,2,64,6,30.0,28.4,22.1,50.5,530,885,1.00,0.77,1.77,0.93,1.70,1.00,0.74,1.74,0.95,1.68
Chelsea,30,25.0,58.5,28,308,"2,520",28.0,48,34,82,40,8,9,88,3,54.3,47.2,37.6,84.8,636,1215,1.71,1.21,2.93,1.43,2.64,1.94,1.34,3.28,1.69,3.03
Crystal Palace,26,27.6,41.8,29,319,"2,610",29.0,34,25,59,30,4,4,55,1,34.3,31.1,26.6,57.7,373,858,1.17,0.86,2.03,1.03,1.90,1.18,0.92,2.10,1.07,1.99
Everton,25,27.5,40.6,29,319,"2,610",29.0,30,14,44,30,0,1,61,1,43.4,42.6,31.0,73.6,390,885,1.03,0.48,1.52,1.03,1.52,1.50,1.07,2.57,1.47,2.54
Fulham,25,29.3,50.5,30,330,"2,700",30.0,45,33,78,43,2,2,70,3,40.5,38.9,29.3,68.2,514,1151,1.50,1.10,2.60,1.43,2.53,1.35,0.98,2.32,1.30,2.27
Liverpool,29,27.1,60.0,29,319,"2,610",29.0,63,49,112,58,5,8,58,5,65.3,58.8,47.3,106.1,692,1524,2.17,1.69,3.86,2.00,3.69,2.25,1.63,3.88,2.03,3.66
Luton Town,26,27.4,41.9,30,330,"2,700",30.0,40,28,68,36,4,4,59,0,35.8,32.8,25.2,58.0,545,864,1.33,0.93,2.27,1.20,2.13,1.19,0.84,2.03,1.09,1.93
Manchester City,25,27.3,65.3,29,319,"2,610",29.0,62,47,109,58,4,5,47,2,57.6,53.9,44.4,98.3,884,1559,2.14,1.62,3.76,2.00,3.62,1.99,1.53,3.52,1.86,3.39
Manchester Utd,30,27.0,50.5,29,319,"2,610",29.0,40,27,67,36,4,5,69,1,43.8,39.9,31.4,71.3,571,1147,1.38,0.93,2.31,1.24,2.17,1.51,1.08,2.60,1.38,2.46
Newcastle Utd,32,28.0,53.1,29,319,"2,610",29.0,62,40,102,55,7,7,62,1,55.2,49.7,35.5,85.2,540,1190,2.14,1.38,3.52,1.90,3.28,1.90,1.22,3.13,1.71,2.94
Nott'ham Forest,33,26.4,40.8,30,330,"2,700",30.0,36,31,67,35,1,1,70,3,37.4,36.6,30.0,66.6,455,885,1.20,1.03,2.23,1.17,2.20,1.25,1.00,2.25,1.22,2.22
Sheffield Utd,33,26.6,35.4,29,319,"2,610",29.0,24,13,37,20,4,4,87,4,27.0,24.0,16.9,40.8,243,628,0.83,0.45,1.28,0.69,1.14,0.93,0.58,1.51,0.83,1.41
Tottenham,28,25.9,60.9,29,319,"2,610",29.0,57,48,105,56,1,1,69,4,52.3,51.5,44.9,96.3,732,1591,1.97,1.66,3.62,1.93,3.59,1.80,1.55,3.35,1.77,3.32
West Ham,24,28.9,41.4,30,330,"2,700",30.0,48,35,83,45,3,4,71,3,42.4,39.2,28.3,67.5,447,955,1.60,1.17,2.77,1.50,2.67,1.41,0.94,2.36,1.31,2.25
Wolves,26,27.4,48.0,29,319,"2,610",29.0,39,32,71,36,3,3,74,3,39.1,36.7,27.3,64.0,548,940,1.34,1.10,2.45,1.24,2.34,1.35,0.94,2.29,1.27,2.21
